PRES	MOLEFRAC METHA-01	TOTAL TEMP	TOTAL KVL METHA-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA METHA-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA METHA-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 METHA-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC METHA-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA METHA-01
bar		K															
1	0.28	345.6789	1.491382	0.8089071	1.087226	1.006345					1	0.4175869	0.5824131	0.28	0.72			1.087226
1	0.282	345.6453	1.489134	0.807889	1.086924	1.006454					1	0.4199357	0.5800643	0.282	0.718			1.086924
1	0.284	345.6117	1.486892	0.8068751	1.086622	1.006564					1	0.4222774	0.5777226	0.284	0.716			1.086622
1	0.286	345.5782	1.484657	0.8058656	1.086319	1.006675					1	0.4246119	0.5753881	0.286	0.714			1.086319
1	0.288	345.5448	1.482428	0.8048604	1.086017	1.006787					1	0.4269394	0.5730606	0.288	0.712			1.086017
1	0.29	345.5114	1.480206	0.8038594	1.085714	1.006901					1	0.4292598	0.5707402	0.29	0.71			1.085714
1	0.292	345.4782	1.47799	0.8028628	1.085411	1.007016					1	0.4315732	0.5684268	0.292	0.708			1.085411
1	0.294	345.445	1.475781	0.8018704	1.085107	1.007132					1	0.4338795	0.5661205	0.294	0.706			1.085107
1	0.296	345.4118	1.473577	0.8008822	1.084804	1.007249					1	0.4361789	0.5638211	0.296	0.704			1.084804
1	0.298	345.3788	1.47138	0.7998983	1.0845	1.007368					1	0.4384714	0.5615286	0.298	0.702			1.0845
1	0.3	345.3458	1.46919	0.7989187	1.084196	1.007488					1	0.4407569	0.5592431	0.3	0.7			1.084196
1	0.302	345.3128	1.467005	0.7979432	1.083892	1.007609					1	0.4430356	0.5569644	0.302	0.698			1.083892
1	0.304	345.28	1.464827	0.796972	1.083587	1.007732					1	0.4453075	0.5546925	0.304	0.696			1.083587
1	0.306	345.2472	1.462655	0.796005	1.083283	1.007856					1	0.4475725	0.5524275	0.306	0.694			1.083283
1	0.308	345.2145	1.46049	0.7950422	1.082978	1.007981					1	0.4498308	0.5501692	0.308	0.692			1.082978
1	0.31	345.1819	1.45833	0.7940836	1.082673	1.008107					1	0.4520823	0.5479177	0.31	0.69			1.082673
