PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL METHA-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA METHA-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA METHA-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 METHA-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC METHA-01	LIQUID GAMMA ACETO-01
bar		K															
1	0.336	330.7197	1.35572	0.8199969	1.274677	1.065724					1	0.455522	0.544478	0.336	0.664			1.274677
1	0.338	330.6978	1.352772	0.8198836	1.272815	1.066528					1	0.4572371	0.5427629	0.338	0.662			1.272815
1	0.34	330.6761	1.349842	0.8197781	1.270961	1.067338					1	0.4589464	0.5410536	0.34	0.66			1.270961
1	0.342	330.6545	1.34693	0.8196805	1.269116	1.068154					1	0.4606502	0.5393498	0.342	0.658			1.269116
1	0.344	330.6331	1.344036	0.8195908	1.267278	1.068974					1	0.4623485	0.5376515	0.344	0.656			1.267278
1	0.346	330.6117	1.34116	0.8195088	1.26545	1.0698					1	0.4640413	0.5359587	0.346	0.654			1.26545
1	0.348	330.5905	1.338301	0.8194346	1.263629	1.070631					1	0.4657287	0.5342713	0.348	0.652			1.263629
1	0.35	330.5695	1.335459	0.8193681	1.261817	1.071468					1	0.4674107	0.5325893	0.35	0.65			1.261817
1	0.352	330.5485	1.332635	0.8193094	1.260012	1.07231					1	0.4690875	0.5309125	0.352	0.648			1.260012
1	0.354	330.5277	1.329828	0.8192583	1.258216	1.073157					1	0.4707591	0.5292409	0.354	0.646			1.258216
1	0.356	330.507	1.327038	0.8192149	1.256428	1.074009					1	0.4724256	0.5275744	0.356	0.644			1.256428
1	0.358	330.4864	1.324265	0.8191792	1.254649	1.074868					1	0.474087	0.525913	0.358	0.642			1.254649
1	0.36	330.466	1.321509	0.8191511	1.252877	1.075731					1	0.4757433	0.5242567	0.36	0.64			1.252877
1	0.362	330.4456	1.31877	0.8191305	1.251113	1.0766					1	0.4773947	0.5226053	0.362	0.638			1.251113
1	0.364	330.4254	1.316047	0.8191175	1.249358	1.077474					1	0.4790412	0.5209588	0.364	0.636			1.249358
1	0.366	330.4053	1.313341	0.8191121	1.24761	1.078354					1	0.4806829	0.5193171	0.366	0.634			1.24761
1	0.368	330.3854	1.310652	0.8191142	1.245871	1.079239					1	0.4823198	0.5176802	0.368	0.632			1.245871
1	0.37	330.3655	1.307978	0.8191238	1.244139	1.08013					1	0.483952	0.516048	0.37	0.63			1.244139
1	0.372	330.3458	1.305321	0.8191409	1.242416	1.081026					1	0.4855795	0.5144205	0.372	0.628			1.242416
1	0.374	330.3262	1.30268	0.8191654	1.2407	1.081928					1	0.4872024	0.5127976	0.374	0.626			1.2407
1	0.376	330.3067	1.300055	0.8191974	1.238992	1.082835					1	0.4888208	0.5111792	0.376	0.624			1.238992
1	0.378	330.2873	1.297446	0.8192368	1.237292	1.083747					1	0.4904347	0.5095653	0.378	0.622			1.237292
1	0.38	330.2681	1.294853	0.8192836	1.2356	1.084666					1	0.4920442	0.5079558	0.38	0.62			1.2356
1	0.382	330.2489	1.292276	0.8193377	1.233915	1.085589					1	0.4936493	0.5063507	0.382	0.618			1.233915
1	0.384	330.2299	1.289714	0.8193992	1.232239	1.086519					1	0.4952501	0.5047499	0.384	0.616			1.232239
1	0.386	330.211	1.287167	0.8194681	1.23057	1.087453					1	0.4968466	0.5031534	0.386	0.614			1.23057
1	0.388	330.1922	1.284636	0.8195443	1.228909	1.088394					1	0.4984389	0.5015611	0.388	0.612			1.228909
1	0.39	330.1735	1.282121	0.8196277	1.227255	1.08934					1	0.5000271	0.4999729	0.39	0.61			1.227255
1	0.392	330.1549	1.27962	0.8197185	1.225609	1.090291					1	0.5016112	0.4983888	0.392	0.608			1.225609
1	0.394	330.1364	1.277135	0.8198165	1.223971	1.091249					1	0.5031912	0.4968088	0.394	0.606			1.223971
1	0.396	330.1181	1.274665	0.8199218	1.22234	1.092211					1	0.5047672	0.4952328	0.396	0.604			1.22234
1	0.398	330.0999	1.272209	0.8200343	1.220718	1.09318					1	0.5063394	0.4936606	0.398	0.602			1.220718
1	0.4	330.0817	1.269769	0.820154	1.219102	1.094154					1	0.5079076	0.4920924	0.4	0.6			1.219102
1	0.402	330.0637	1.267343	0.8202809	1.217494	1.095134					1	0.509472	0.490528	0.402	0.598			1.217494
1	0.404	330.0458	1.264932	0.820415	1.215894	1.096119					1	0.5110326	0.4889674	0.404	0.596			1.215894
1	0.406	330.028	1.262536	0.8205563	1.214301	1.09711					1	0.5125896	0.4874104	0.406	0.594			1.214301
1	0.408	330.0103	1.260154	0.8207047	1.212716	1.098107					1	0.5141428	0.4858572	0.408	0.592			1.212716
1	0.41	329.9927	1.257786	0.8208603	1.211138	1.09911					1	0.5156924	0.4843076	0.41	0.59			1.211138
1	0.412	329.9752	1.255433	0.821023	1.209567	1.100118					1	0.5172385	0.4827615	0.412	0.588			1.209567
1	0.414	329.9578	1.253094	0.8211928	1.208004	1.101132					1	0.518781	0.481219	0.414	0.586			1.208004
1	0.416	329.9406	1.250769	0.8213697	1.206449	1.102152					1	0.5203201	0.4796799	0.416	0.584			1.206449
1	0.418	329.9234	1.248459	0.8215537	1.2049	1.103177					1	0.5218557	0.4781443	0.418	0.582			1.2049
1	0.42	329.9063	1.246162	0.8217448	1.203359	1.104209					1	0.523388	0.476612	0.42	0.58			1.203359
1	0.422	329.8894	1.243879	0.8219429	1.201825	1.105246					1	0.524917	0.475083	0.422	0.578			1.201825
1	0.424	329.8725	1.24161	0.8221481	1.200299	1.106289					1	0.5264427	0.4735573	0.424	0.576			1.200299
1	0.426	329.8558	1.239355	0.8223604	1.19878	1.107337					1	0.5279652	0.4720348	0.426	0.574			1.19878
1	0.428	329.8391	1.237113	0.8225796	1.197268	1.108392					1	0.5294844	0.4705156	0.428	0.572			1.197268
1	0.43	329.8226	1.234885	0.8228059	1.195763	1.109452					1	0.5310006	0.4689994	0.43	0.57			1.195763
1	0.432	329.8061	1.232671	0.8230392	1.194265	1.110519					1	0.5325137	0.4674863	0.432	0.568			1.194265
