TEMP	PRES	LIQUID PHIPC ACETONE	LIQUID PHIPC METHANOL	LIQUID PHIPC ETHANOL
K	bar		
349.76	1	0.9973761	0.9991038	1.000113
349.84	1	0.9973635	0.999097	1.000107
349.92	1	0.9973509	0.9990901	1.0001
350	1	0.9973382	0.9990832	1.000094
350.08	1	0.9973256	0.9990763	1.000087
350.16	1	0.9973129	0.9990694	1.000081
350.24	1	0.9973001	0.9990625	1.000074
350.32	1	0.9972874	0.9990555	1.000067
350.4	1	0.9972746	0.9990486	1.000061
350.48	1	0.9972619	0.9990416	1.000054
350.56	1	0.997249	0.9990346	1.000048
350.64	1	0.9972362	0.9990276	1.000041
350.72	1	0.9972234	0.9990206	1.000034
350.8	1	0.9972105	0.9990135	1.000028
350.88	1	0.9971976	0.9990065	1.000021
350.96	1	0.9971847	0.9989994	1.000014
351.04	1	0.9971717	0.9989923	1.000007
351.12	1	0.9971588	0.9989852	1.000001
351.2	1	0.9971458	0.9989781	0.9999938
351.28	1	0.9971328	0.998971	0.999987
351.36	1	0.9971197	0.9989638	0.9999801
351.44	1	0.9971067	0.9989566	0.9999733
351.52	1	0.9970936	0.9989495	0.9999665
351.6	1	0.9970805	0.9989423	0.9999596
351.68	1	0.9970674	0.9989351	0.9999527
351.76	1	0.9970543	0.9989278	0.9999458
351.84	1	0.9970411	0.9989206	0.9999389
351.92	1	0.9970279	0.9989133	0.999932
352	1	0.9970147	0.9989061	0.999925
352.08	1	0.9970015	0.9988988	0.9999181
352.16	1	0.9969882	0.9988915	0.9999111
352.24	1	0.9969749	0.9988841	0.9999041
352.32	1	0.9969616	0.9988768	0.9998971
352.4	1	0.9969483	0.9988695	0.9998901
352.48	1	0.996935	0.9988621	0.999883
352.56	1	0.9969216	0.9988547	0.999876
352.64	1	0.9969082	0.9988473	0.9998689
352.72	1	0.9968948	0.9988399	0.9998618
352.8	1	0.9968813	0.9988324	0.9998547
352.88	1	0.9968679	0.998825	0.9998475
352.96	1	0.9968544	0.9988175	0.9998404
353.04	1	0.9968409	0.99881	0.9998332
353.12	1	0.9968274	0.9988025	0.9998261
353.2	1	0.9968138	0.998795	0.9998189
353.28	1	0.9968003	0.9987875	0.9998117
353.36	1	0.9967867	0.99878	0.9998044
353.44	1	0.996773	0.9987724	0.9997972
353.52	1	0.9967594	0.9987648	0.9997899
353.6	1	0.9967457	0.9987572	0.9997826
353.68	1	0.996732	0.9987496	0.9997753
353.76	1	0.9967183	0.998742	0.999768
353.84	1	0.9967046	0.9987343	0.9997607
353.92	1	0.9966908	0.9987267	0.9997533
354	1	0.9966771	0.998719	0.999746
354.08	1	0.9966632	0.9987113	0.9997386
354.16	1	0.9966494	0.9987036	0.9997312
354.24	1	0.9966356	0.9986958	0.9997238
354.32	1	0.9966217	0.9986881	0.9997163
354.4	1	0.9966078	0.9986803	0.9997089
354.48	1	0.9965939	0.9986726	0.9997014
354.56	1	0.9965799	0.9986648	0.9996939
354.64	1	0.996566	0.998657	0.9996864
354.72	1	0.996552	0.9986491	0.9996789
354.8	1	0.996538	0.9986413	0.9996713
354.88	1	0.9965239	0.9986334	0.9996638
354.96	1	0.9965099	0.9986255	0.9996562
355.04	1	0.9964958	0.9986176	0.9996486
355.12	1	0.9964817	0.9986097	0.999641
355.2	1	0.9964675	0.9986018	0.9996334
355.28	1	0.9964534	0.9985938	0.9996257
355.36	1	0.9964392	0.9985859	0.9996181
355.44	1	0.996425	0.9985779	0.9996104
355.52	1	0.9964108	0.9985699	0.9996027
355.6	1	0.9963965	0.9985619	0.999595
355.68	1	0.9963822	0.9985539	0.9995872
355.76	1	0.9963679	0.9985458	0.9995795
355.84	1	0.9963536	0.9985377	0.9995717
355.92	1	0.9963393	0.9985297	0.9995639
356	1	0.9963249	0.9985215	0.9995561
356.08	1	0.9963105	0.9985134	0.9995483
356.16	1	0.9962961	0.9985053	0.9995404
356.24	1	0.9962816	0.9984971	0.9995326
356.32	1	0.9962672	0.998489	0.9995247
356.4	1	0.9962527	0.9984808	0.9995168
356.48	1	0.9962382	0.9984726	0.9995089
356.56	1	0.9962236	0.9984644	0.9995009
356.64	1	0.9962091	0.9984561	0.999493
356.72	1	0.9961945	0.9984479	0.999485
356.8	1	0.9961799	0.9984396	0.999477
356.88	1	0.9961652	0.9984313	0.999469
356.96	1	0.9961506	0.998423	0.999461
357.04	1	0.9961359	0.9984146	0.9994529
357.12	1	0.9961212	0.9984063	0.9994449
357.2	1	0.9961065	0.9983979	0.9994368
357.28	1	0.9960917	0.9983895	0.9994287
357.36	1	0.9960769	0.9983812	0.9994205
357.44	1	0.9960621	0.9983727	0.9994124
357.52	1	0.9960473	0.9983643	0.9994042
357.6	1	0.9960324	0.9983558	0.9993961
357.68	1	0.9960176	0.9983474	0.9993879
357.76	1	0.9960026	0.9983389	0.9993797
357.84	1	0.9959877	0.9983304	0.9993714
357.92	1	0.9959728	0.9983219	0.9993632
358	1	0.9959578	0.9983133	0.9993549
358.08	1	0.9959428	0.9983047	0.9993466
358.16	1	0.9959278	0.9982962	0.9993383
358.24	1	0.9959127	0.9982876	0.99933
358.32	1	0.9958976	0.998279	0.9993216
358.4	1	0.9958825	0.9982703	0.9993133
358.48	1	0.9958674	0.9982617	0.9993049
358.56	1	0.9958523	0.998253	0.9992965
358.64	1	0.9958371	0.9982443	0.999288
358.72	1	0.9958219	0.9982356	0.9992796
358.8	1	0.9958067	0.9982269	0.9992711
358.88	1	0.9957914	0.9982181	0.9992626
358.96	1	0.9957761	0.9982094	0.9992541
359.04	1	0.9957608	0.9982006	0.9992456
359.12	1	0.9957455	0.9981918	0.9992371
359.2	1	0.9957302	0.998183	0.9992285
359.28	1	0.9957148	0.9981741	0.9992199
359.36	1	0.9956994	0.9981653	0.9992113
359.44	1	0.9956839	0.9981564	0.9992027
359.52	1	0.9956685	0.9981475	0.9991941
359.6	1	0.995653	0.9981386	0.9991854
359.68	1	0.9956375	0.9981297	0.9991767
359.76	1	0.995622	0.9981207	0.999168
359.84	1	0.9956064	0.9981118	0.9991593
359.92	1	0.9955909	0.9981028	0.9991506
360	1	0.9955753	0.9980938	0.9991418
