PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA ETHAN-01
bar		C															
1	0.204	66.89805	2.328727	0.659472	1.62834	1.036497					1	0.4750604	0.5249396	0.204	0.796			1.036497
1	0.206	66.83083	2.318009	0.658048	1.624185	1.037215					1	0.4775099	0.5224901	0.206	0.794			1.037215
1	0.208	66.76413	2.307391	0.6566447	1.620052	1.03794					1	0.4799374	0.5200626	0.208	0.792			1.03794
1	0.21	66.69794	2.296872	0.6552619	1.61594	1.038672					1	0.4823431	0.5176569	0.21	0.79			1.038672
1	0.212	66.63225	2.28645	0.6538993	1.611851	1.039411					1	0.4847274	0.5152726	0.212	0.788			1.039411
1	0.214	66.56707	2.276124	0.6525566	1.607783	1.040158					1	0.4870905	0.5129095	0.214	0.786			1.040158
1	0.216	66.50238	2.265893	0.6512336	1.603736	1.040911					1	0.4894329	0.5105671	0.216	0.784			1.040911
1	0.218	66.43818	2.255756	0.6499301	1.599712	1.041672					1	0.4917547	0.5082453	0.218	0.782			1.041672
1	0.22	66.37447	2.245711	0.6486457	1.595708	1.04244					1	0.4940564	0.5059436	0.22	0.78			1.04244
1	0.222	66.31124	2.235757	0.6473803	1.591726	1.043215					1	0.4963382	0.5036618	0.222	0.778			1.043215
1	0.224	66.24848	2.225894	0.6461336	1.587765	1.043997					1	0.4986003	0.5013997	0.224	0.776			1.043997
1	0.226	66.18619	2.21612	0.6449055	1.583825	1.044786					1	0.5008432	0.4991568	0.226	0.774			1.044786
1	0.228	66.12436	2.206434	0.6436955	1.579906	1.045582					1	0.5030671	0.4969329	0.228	0.772			1.045582
1	0.23	66.06299	2.196836	0.6425037	1.576008	1.046386					1	0.5052722	0.4947278	0.23	0.77			1.046386
1	0.232	66.00207	2.187323	0.6413296	1.572131	1.047197					1	0.5074589	0.4925411	0.232	0.768			1.047197
1	0.234	65.9416	2.177895	0.6401732	1.568274	1.048015					1	0.5096274	0.4903726	0.234	0.766			1.048015
1	0.236	65.88157	2.16855	0.6390342	1.564439	1.04884					1	0.5117779	0.4882221	0.236	0.764			1.04884
1	0.238	65.82198	2.159289	0.6379124	1.560623	1.049672					1	0.5139108	0.4860892	0.238	0.762			1.049672
1	0.24	65.76283	2.15011	0.6368075	1.556828	1.050511					1	0.5160263	0.4839737	0.24	0.76			1.050511
1	0.242	65.7041	2.141011	0.6357195	1.553053	1.051358					1	0.5181247	0.4818753	0.242	0.758			1.051358
1	0.244	65.6458	2.131992	0.634648	1.549299	1.052212					1	0.5202061	0.4797939	0.244	0.756			1.052212
1	0.246	65.58791	2.123052	0.633593	1.545564	1.053073					1	0.5222709	0.4777291	0.246	0.754			1.053073
1	0.248	65.53045	2.114191	0.6325541	1.54185	1.053941					1	0.5243193	0.4756807	0.248	0.752			1.053941
1	0.25	65.47339	2.105406	0.6315313	1.538155	1.054817					1	0.5263515	0.4736485	0.25	0.75			1.054817
1	0.252	65.41673	2.096698	0.6305244	1.53448	1.055699					1	0.5283678	0.4716322	0.252	0.748			1.055699
1	0.254	65.36048	2.088064	0.629533	1.530825	1.05659					1	0.5303684	0.4696316	0.254	0.746			1.05659
1	0.256	65.30462	2.079506	0.6285572	1.527189	1.057487					1	0.5323535	0.4676465	0.256	0.744			1.057487
1	0.258	65.24916	2.07102	0.6275967	1.523573	1.058391					1	0.5343233	0.4656767	0.258	0.742			1.058391
1	0.26	65.19408	2.062608	0.6266513	1.519977	1.059303					1	0.5362781	0.4637219	0.26	0.74			1.059303
1	0.262	65.13939	2.054267	0.6257209	1.516399	1.060223					1	0.538218	0.461782	0.262	0.738			1.060223
1	0.264	65.08508	2.045998	0.6248052	1.512841	1.061149					1	0.5401434	0.4598566	0.264	0.736			1.061149
1	0.266	65.03114	2.037798	0.6239043	1.509302	1.062083					1	0.5420543	0.4579457	0.266	0.734			1.062083
1	0.268	64.97758	2.029668	0.6230177	1.505782	1.063024					1	0.543951	0.456049	0.268	0.732			1.063024
1	0.27	64.92438	2.021607	0.6221456	1.502281	1.063973					1	0.5458338	0.4541662	0.27	0.73			1.063973
1	0.272	64.87155	2.013613	0.6212875	1.498799	1.064928					1	0.5477027	0.4522973	0.272	0.728			1.064928
1	0.274	64.81907	2.005686	0.6204435	1.495336	1.065892					1	0.549558	0.450442	0.274	0.726			1.065892
1	0.276	64.76695	1.997826	0.6196134	1.491891	1.066862					1	0.5514	0.4486	0.276	0.724			1.066862
1	0.278	64.71519	1.990031	0.6187969	1.488465	1.06784					1	0.5532287	0.4467713	0.278	0.722			1.06784
1	0.28	64.66377	1.982301	0.617994	1.485057	1.068826					1	0.5550443	0.4449557	0.28	0.72			1.068826
1	0.282	64.61269	1.974635	0.6172046	1.481668	1.069819					1	0.5568471	0.4431529	0.282	0.718			1.069819
1	0.284	64.56196	1.967033	0.6164284	1.478297	1.070819					1	0.5586373	0.4413627	0.284	0.716			1.070819
1	0.286	64.51156	1.959493	0.6156654	1.474944	1.071826					1	0.5604149	0.4395851	0.286	0.714			1.071826
1	0.288	64.4615	1.952015	0.6149154	1.471609	1.072842					1	0.5621803	0.4378197	0.288	0.712			1.072842
1	0.29	64.41177	1.944598	0.6141783	1.468292	1.073864					1	0.5639335	0.4360665	0.29	0.71			1.073864
1	0.292	64.36236	1.937242	0.6134539	1.464993	1.074894					1	0.5656747	0.4343253	0.292	0.708			1.074894
1	0.294	64.31328	1.929946	0.6127421	1.461712	1.075932					1	0.5674041	0.4325959	0.294	0.706			1.075932
1	0.296	64.26451	1.922709	0.6120428	1.458449	1.076977					1	0.5691219	0.4308781	0.296	0.704			1.076977
1	0.298	64.21606	1.915531	0.6113559	1.455204	1.078029					1	0.5708282	0.4291718	0.298	0.702			1.078029
1	0.3	64.16793	1.908411	0.6106812	1.451976	1.079089					1	0.5725232	0.4274768	0.3	0.7			1.079089
1	0.302	64.1201	1.901348	0.6100186	1.448765	1.080157					1	0.574207	0.425793	0.302	0.698			1.080157
1	0.304	64.07258	1.894342	0.6093681	1.445572	1.081232					1	0.5758798	0.4241202	0.304	0.696			1.081232
1	0.306	64.02536	1.887392	0.6087294	1.442396	1.082315					1	0.5775418	0.4224582	0.306	0.694			1.082315
1	0.308	63.97845	1.880497	0.6081025	1.439237	1.083405					1	0.5791931	0.4208069	0.308	0.692			1.083405
1	0.31	63.93182	1.873658	0.6074872	1.436096	1.084503					1	0.5808339	0.4191661	0.31	0.69			1.084503
1	0.312	63.8855	1.866872	0.6068835	1.432971	1.085608					1	0.5824642	0.4175358	0.312	0.688			1.085608
1	0.314	63.83946	1.860141	0.6062912	1.429864	1.086721					1	0.5840843	0.4159157	0.314	0.686			1.086721
1	0.316	63.79371	1.853463	0.6057102	1.426773	1.087842					1	0.5856942	0.4143058	0.316	0.684			1.087842
1	0.318	63.74824	1.846837	0.6051404	1.4237	1.088971					1	0.5872942	0.4127058	0.318	0.682			1.088971
1	0.32	63.70305	1.840264	0.6045818	1.420643	1.090107					1	0.5888844	0.4111156	0.32	0.68			1.090107
1	0.322	63.65815	1.833742	0.6040342	1.417602	1.09125					1	0.5904649	0.4095351	0.322	0.678			1.09125
1	0.324	63.61352	1.827271	0.6034974	1.414578	1.092402					1	0.5920358	0.4079642	0.324	0.676			1.092402
1	0.326	63.56916	1.82085	0.6029715	1.411571	1.093561					1	0.5935972	0.4064028	0.326	0.674			1.093561
1	0.328	63.52507	1.81448	0.6024563	1.40858	1.094728					1	0.5951494	0.4048506	0.328	0.672			1.094728
1	0.33	63.48125	1.808159	0.6019517	1.405605	1.095902					1	0.5966924	0.4033076	0.33	0.67			1.095902
1	0.332	63.43769	1.801887	0.6014576	1.402647	1.097085					1	0.5982263	0.4017737	0.332	0.668			1.097085
1	0.334	63.39439	1.795663	0.6009739	1.399704	1.098275					1	0.5997514	0.4002486	0.334	0.666			1.098275
1	0.336	63.35135	1.789487	0.6005006	1.396778	1.099473					1	0.6012676	0.3987324	0.336	0.664			1.099473
1	0.338	63.30857	1.783359	0.6000375	1.393868	1.100679					1	0.6027752	0.3972248	0.338	0.662			1.100679
1	0.34	63.26604	1.777277	0.5995845	1.390973	1.101892					1	0.6042742	0.3957258	0.34	0.66			1.101892
1	0.342	63.22376	1.771242	0.5991417	1.388094	1.103113					1	0.6057648	0.3942352	0.342	0.658			1.103113
1	0.344	63.18173	1.765253	0.5987088	1.385232	1.104343					1	0.6072471	0.3927529	0.344	0.656			1.104343
1	0.346	63.13994	1.75931	0.5982857	1.382384	1.10558					1	0.6087211	0.3912789	0.346	0.654			1.10558
1	0.348	63.0984	1.753411	0.5978725	1.379553	1.106825					1	0.6101871	0.3898129	0.348	0.652			1.106825
1	0.35	63.0571	1.747557	0.5974691	1.376737	1.108078					1	0.6116451	0.3883549	0.35	0.65			1.108078
1	0.352	63.01604	1.741748	0.5970752	1.373936	1.109339					1	0.6130953	0.3869047	0.352	0.648			1.109339
1	0.354	62.97521	1.735982	0.596691	1.371151	1.110607					1	0.6145377	0.3854623	0.354	0.646			1.110607
1	0.356	62.93461	1.73026	0.5963162	1.368381	1.111884					1	0.6159724	0.3840276	0.356	0.644			1.111884
1	0.358	62.89425	1.72458	0.5959508	1.365626	1.113169					1	0.6173996	0.3826004	0.358	0.642			1.113169
1	0.36	62.85412	1.718943	0.5955948	1.362886	1.114462					1	0.6188194	0.3811806	0.36	0.64			1.114462
1	0.362	62.81421	1.713348	0.595248	1.360161	1.115762					1	0.6202318	0.3797682	0.362	0.638			1.115762
1	0.364	62.77452	1.707794	0.5949104	1.357452	1.117071					1	0.621637	0.378363	0.364	0.636			1.117071
1	0.366	62.73506	1.702282	0.5945819	1.354757	1.118388					1	0.6230351	0.3769649	0.366	0.634			1.118388
1	0.368	62.69581	1.69681	0.5942624	1.352077	1.119713					1	0.6244261	0.3755739	0.368	0.632			1.119713
1	0.37	62.65678	1.691379	0.593952	1.349412	1.121046					1	0.6258103	0.3741897	0.37	0.63			1.121046
1	0.372	62.61797	1.685988	0.5936504	1.346761	1.122387					1	0.6271876	0.3728124	0.372	0.628			1.122387
1	0.374	62.57937	1.680637	0.5933577	1.344125	1.123736					1	0.6285581	0.3714419	0.374	0.626			1.123736
1	0.376	62.54098	1.675325	0.5930737	1.341504	1.125094					1	0.629922	0.370078	0.376	0.624			1.125094
1	0.378	62.5028	1.670051	0.5927984	1.338897	1.12646					1	0.6312794	0.3687206	0.378	0.622			1.12646
1	0.38	62.46483	1.664817	0.5925318	1.336305	1.127833					1	0.6326303	0.3673697	0.38	0.62			1.127833
1	0.382	62.42706	1.65962	0.5922737	1.333727	1.129215					1	0.6339749	0.3660251	0.382	0.618			1.129215
1	0.384	62.38949	1.654461	0.5920241	1.331163	1.130606					1	0.6353131	0.3646869	0.384	0.616			1.130606
1	0.386	62.35212	1.64934	0.591783	1.328613	1.132004					1	0.6366452	0.3633548	0.386	0.614			1.132004
1	0.388	62.31495	1.644256	0.5915503	1.326078	1.133411					1	0.6379712	0.3620288	0.388	0.612			1.133411
1	0.39	62.27797	1.639208	0.5913259	1.323556	1.134826					1	0.6392912	0.3607088	0.39	0.61			1.134826
1	0.392	62.24119	1.634197	0.5911098	1.321049	1.136249					1	0.6406053	0.3593947	0.392	0.608			1.136249
1	0.394	62.20461	1.629222	0.5909019	1.318555	1.137681					1	0.6419135	0.3580865	0.394	0.606			1.137681
1	0.396	62.16821	1.624283	0.5907021	1.316075	1.139121					1	0.6432159	0.3567841	0.396	0.604			1.139121
1	0.398	62.132	1.619379	0.5905105	1.313609	1.14057					1	0.6445127	0.3554873	0.398	0.602			1.14057
1	0.4	62.09598	1.61451	0.5903268	1.311157	1.142026					1	0.6458039	0.3541961	0.4	0.6			1.142026
1	0.402	62.06014	1.609676	0.5901512	1.308718	1.143492					1	0.6470896	0.3529104	0.402	0.598			1.143492
1	0.404	62.02449	1.604876	0.5899835	1.306293	1.144966					1	0.6483698	0.3516302	0.404	0.596			1.144966
1	0.406	61.98902	1.60011	0.5898237	1.303882	1.146448					1	0.6496447	0.3503553	0.406	0.594			1.146448
1	0.408	61.95372	1.595378	0.5896717	1.301484	1.147938					1	0.6509143	0.3490857	0.408	0.592			1.147938
1	0.41	61.91861	1.59068	0.5895275	1.299099	1.149438					1	0.6521788	0.3478212	0.41	0.59			1.149438
1	0.412	61.88367	1.586015	0.5893911	1.296728	1.150946					1	0.6534381	0.3465619	0.412	0.588			1.150946
1	0.414	61.8489	1.581382	0.5892623	1.29437	1.152462					1	0.6546923	0.3453077	0.414	0.586			1.152462
1	0.416	61.81431	1.576783	0.5891411	1.292025	1.153987					1	0.6559416	0.3440584	0.416	0.584			1.153987
1	0.418	61.77988	1.572215	0.5890276	1.289693	1.15552					1	0.657186	0.342814	0.418	0.582			1.15552
1	0.42	61.74563	1.56768	0.5889215	1.287374	1.157063					1	0.6584255	0.3415745	0.42	0.58			1.157063
1	0.422	61.71154	1.563176	0.588823	1.285069	1.158613					1	0.6596603	0.3403397	0.422	0.578			1.158613
1	0.424	61.67762	1.558704	0.5887319	1.282776	1.160173					1	0.6608904	0.3391096	0.424	0.576			1.160173
