TEMP	PRES	LIQUID FUG ACETONE	LIQUID FUG METHANOL	LIQUID FUG ETHANOL
K	bar	bar	bar	bar
348.96	1	1.825434	1.522769	0.9039926
349.04	1	1.829659	1.527144	0.9068505
349.12	1	1.833892	1.53153	0.9097158
349.2	1	1.838132	1.535925	0.9125884
349.28	1	1.84238	1.540331	0.9154685
349.36	1	1.846635	1.544746	0.9183559
349.44	1	1.850897	1.549172	0.9212508
349.52	1	1.855166	1.553609	0.9241532
349.6	1	1.859443	1.558055	0.927063
349.68	1	1.863727	1.562512	0.9299802
349.76	1	1.868018	1.566978	0.932905
349.84	1	1.872317	1.571455	0.9358373
349.92	1	1.876623	1.575943	0.938777
350	1	1.880936	1.58044	0.9417243
350.08	1	1.885256	1.584948	0.9446792
350.16	1	1.889584	1.589467	0.9476416
350.24	1	1.89392	1.593995	0.9506115
350.32	1	1.898262	1.598534	0.9535891
350.4	1	1.902612	1.603084	0.9565742
350.48	1	1.90697	1.607643	0.959567
350.56	1	1.911334	1.612213	0.9625674
350.64	1	1.915707	1.616794	0.9655754
350.72	1	1.920086	1.621385	0.9685911
350.8	1	1.924473	1.625986	0.9716145
350.88	1	1.928867	1.630598	0.9746455
350.96	1	1.933269	1.635221	0.9776842
351.04	1	1.937678	1.639854	0.9807307
351.12	1	1.942095	1.644497	0.9837849
351.2	1	1.946519	1.649151	0.9868468
351.28	1	1.95095	1.653816	0.9899164
351.36	1	1.955389	1.658491	0.9929939
351.44	1	1.959835	1.663177	0.9960791
351.52	1	1.964289	1.667873	0.9991721
351.6	1	1.968751	1.67258	1.002273
351.68	1	1.973219	1.677297	1.005382
351.76	1	1.977696	1.682026	1.008498
351.84	1	1.982179	1.686765	1.011622
351.92	1	1.98667	1.691514	1.014755
352	1	1.991169	1.696274	1.017895
352.08	1	1.995675	1.701046	1.021043
352.16	1	2.000189	1.705827	1.024199
352.24	1	2.00471	1.71062	1.027362
352.32	1	2.009239	1.715423	1.030534
352.4	1	2.013775	1.720237	1.033714
352.48	1	2.018319	1.725062	1.036902
352.56	1	2.022871	1.729898	1.040097
352.64	1	2.027429	1.734745	1.043301
352.72	1	2.031996	1.739602	1.046513
352.8	1	2.03657	1.744471	1.049732
352.88	1	2.041152	1.74935	1.05296
352.96	1	2.045741	1.75424	1.056196
353.04	1	2.050338	1.759141	1.05944
353.12	1	2.054942	1.764053	1.062692
353.2	1	2.059554	1.768976	1.065952
353.28	1	2.064174	1.77391	1.06922
353.36	1	2.068801	1.778855	1.072496
353.44	1	2.073436	1.783811	1.075781
353.52	1	2.078078	1.788778	1.079073
353.6	1	2.082728	1.793756	1.082374
353.68	1	2.087386	1.798746	1.085683
353.76	1	2.092051	1.803746	1.089
353.84	1	2.096725	1.808757	1.092325
353.92	1	2.101405	1.81378	1.095659
354	1	2.106094	1.818813	1.099001
354.08	1	2.11079	1.823858	1.102351
354.16	1	2.115493	1.828914	1.105709
354.24	1	2.120205	1.833981	1.109076
354.32	1	2.124924	1.83906	1.112451
354.4	1	2.129651	1.844149	1.115834
354.48	1	2.134385	1.84925	1.119226
354.56	1	2.139127	1.854362	1.122626
354.64	1	2.143877	1.859485	1.126034
354.72	1	2.148635	1.86462	1.129451
354.8	1	2.1534	1.869766	1.132876
354.88	1	2.158174	1.874923	1.136309
354.96	1	2.162954	1.880092	1.139751
355.04	1	2.167743	1.885272	1.143202
355.12	1	2.172539	1.890463	1.14666
355.2	1	2.177344	1.895666	1.150128
355.28	1	2.182156	1.90088	1.153603
355.36	1	2.186975	1.906106	1.157088
355.44	1	2.191803	1.911343	1.16058
355.52	1	2.196638	1.916592	1.164081
355.6	1	2.201481	1.921852	1.167591
355.68	1	2.206332	1.927123	1.17111
355.76	1	2.211191	1.932406	1.174637
355.84	1	2.216057	1.937701	1.178172
355.92	1	2.220932	1.943007	1.181716
356	1	2.225814	1.948325	1.185269
356.08	1	2.230704	1.953654	1.18883
356.16	1	2.235602	1.958995	1.1924
356.24	1	2.240507	1.964347	1.195979
356.32	1	2.245421	1.969711	1.199566
356.4	1	2.250342	1.975087	1.203162
356.48	1	2.255272	1.980475	1.206767
356.56	1	2.260209	1.985874	1.21038
356.64	1	2.265154	1.991285	1.214002
356.72	1	2.270107	1.996707	1.217633
356.8	1	2.275068	2.002142	1.221273
356.88	1	2.280037	2.007588	1.224921
356.96	1	2.285013	2.013046	1.228578
357.04	1	2.289998	2.018516	1.232244
357.12	1	2.29499	2.023997	1.235919
357.2	1	2.299991	2.029491	1.239603
357.28	1	2.304999	2.034996	1.243295
357.36	1	2.310015	2.040513	1.246997
357.44	1	2.31504	2.046042	1.250707
357.52	1	2.320072	2.051583	1.254426
357.6	1	2.325112	2.057136	1.258154
357.68	1	2.33016	2.0627	1.261891
357.76	1	2.335216	2.068277	1.265637
357.84	1	2.34028	2.073866	1.269392
357.92	1	2.345352	2.079466	1.273156
358	1	2.350433	2.085079	1.276929
358.08	1	2.355521	2.090704	1.280711
358.16	1	2.360617	2.096341	1.284501
358.24	1	2.365721	2.101989	1.288301
358.32	1	2.370833	2.10765	1.29211
358.4	1	2.375953	2.113323	1.295928
358.48	1	2.381081	2.119008	1.299755
358.56	1	2.386217	2.124706	1.303591
358.64	1	2.391362	2.130415	1.307437
358.72	1	2.396514	2.136137	1.311291
358.8	1	2.401674	2.14187	1.315155
358.88	1	2.406843	2.147616	1.319027
358.96	1	2.412019	2.153375	1.322909
359.04	1	2.417204	2.159145	1.3268
359.12	1	2.422396	2.164928	1.330701
359.2	1	2.427597	2.170723	1.33461
359.28	1	2.432806	2.17653	1.338529
359.36	1	2.438023	2.18235	1.342457
359.44	1	2.443248	2.188181	1.346394
359.52	1	2.448481	2.194026	1.35034
359.6	1	2.453722	2.199882	1.354296
359.68	1	2.458972	2.205751	1.358261
359.76	1	2.464229	2.211633	1.362235
359.84	1	2.469495	2.217527	1.366219
359.92	1	2.474769	2.223433	1.370212
360	1	2.48005	2.229352	1.374215
